4,5,7,18,19,25,26,15
3,17,22,28,29,32,34,18
7,10,17,20,27,30,33,1
13,14,16,18,19,21,29,18
3,5,6,11,24,26,30,9
5,8,12,13,20,21,35,8
3,8,11,16,28,32,35,13
2,7,15,21,24,31,35,18
1,15,21,28,30,31,33,16
3,19,21,30,32,34,35,1
3,10,18,22,29,30,34,5
5,7,9,13,21,27,35,6
4,6,9,22,23,24,26,18
5,7,18,21,23,28,31,4
1,7,19,21,22,26,34,2
4,10,14,18,19,21,35,11
2,4,5,7,8,29,34,15
6,9,14,25,27,31,33,15
1,5,6,7,14,19,33,17
3,5,14,15,17,22,32,7
2,6,8,12,22,24,32,2
2,4,7,10,12,18,34,7
6,11,14,17,24,25,33,18
1,13,16,18,25,31,35,2
3,4,6,14,17,28,35,10
9,12,15,16,19,20,35,4
10,15,21,24,26,28,35,8
2,9,10,13,22,31,35,15
13,15,21,23,25,30,31,10
3,4,10,12,15,26,34,20
4,8,12,16,25,31,32,17
1,2,4,20,22,23,27,20
5,9,18,22,23,28,30,3
6,11,13,17,21,23,32,15
5,9,10,19,23,24,34,13
2,7,8,9,24,25,26,9
1,6,17,20,26,33,35,5
3,6,13,14,16,28,30,11
1,6,11,16,17,22,29,2
2,7,9,10,22,31,35,19
3,6,12,15,18,28,29,15
2,3,6,13,20,23,34,12
6,8,11,15,21,31,33,7
10,13,16,19,21,25,33,18
5,8,11,15,27,28,34,3
4,7,9,14,16,18,22,10
2,12,16,17,26,30,35,19
1,7,12,16,19,24,25,7
15,17,19,22,25,28,29,6
2,3,5,11,14,20,31,4
3,5,7,10,15,30,34,12
6,10,13,26,27,28,34,11
4,5,9,21,23,28,32,20
2,7,13,17,19,23,25,13
5,13,15,16,19,29,35,16
2,4,12,18,24,27,28,4
6,9,15,27,28,32,33,8
6,7,13,22,24,30,34,10
3,5,16,19,26,31,32,6
11,16,18,21,22,26,31,8
4,10,15,25,27,28,32,18
11,14,25,26,31,34,35,1
2,9,13,24,28,29,33,13
5,15,20,27,28,29,34,8
16,18,19,23,26,32,35,10
3,10,13,16,20,29,33,19
3,18,25,30,32,33,34,6
4,9,14,25,28,29,34,3
4,5,19,26,27,30,33,8
3,9,16,17,21,22,34,9
1,3,5,8,13,19,34,11
1,2,3,4,15,17,20,16
8,12,15,18,27,30,34,8
9,10,14,15,23,26,29,3
2,7,11,17,27,28,30,11
12,17,20,22,23,27,32,17
4,13,18,25,27,29,34,13
2,7,14,18,24,25,27,20
3,8,10,14,21,23,24,5
1,8,9,22,30,31,32,9
2,3,6,8,17,20,23,2
4,5,12,14,17,25,28,10
10,11,14,25,27,28,32,6
2,7,8,9,10,26,30,3
4,10,17,19,21,23,26,7
7,10,11,12,16,21,25,18
4,7,22,23,26,33,35,17
13,15,16,20,25,28,29,11
3,11,16,17,25,26,32,2
7,8,9,15,17,19,32,6
11,13,16,17,18,19,20,15
8,13,21,28,30,31,33,15
4,10,12,13,20,26,34,1
2,13,15,24,25,32,35,16
1,11,12,14,17,19,28,11
2,5,6,10,12,24,25,20
2,5,7,8,11,14,18,19
5,7,8,11,12,19,25,20
10,14,16,21,23,25,34,9
3,10,14,15,23,30,35,15
10,17,19,21,26,31,35,1
1,5,9,12,17,19,24,3
3,4,12,13,14,21,24,6
1,7,13,23,25,26,27,15
10,12,14,15,16,21,25,5
6,16,18,29,30,33,35,4
1,8,14,17,19,21,26,20
1,6,7,18,22,28,33,4
11,17,19,20,23,25,33,3
3,13,16,19,22,25,30,10
1,7,16,20,26,29,32,14
2,6,18,29,30,33,34,8
6,10,12,13,16,20,30,11
6,15,19,22,27,29,35,14
1,2,17,20,26,27,31,14
2,3,7,17,20,22,23,5
1,2,7,8,11,16,28,7
4,9,11,12,21,29,32,2
4,5,9,16,17,29,33,13
4,8,9,11,14,19,20,19
1,12,15,17,21,28,29,17
3,7,20,21,25,30,31,2
1,7,12,13,26,30,34,11
6,9,11,14,19,23,24,20
2,3,13,14,21,24,35,12
1,2,10,16,24,28,31,19
1,5,6,10,16,19,31,10
2,7,9,15,27,31,32,7
9,10,11,17,19,20,35,3
11,15,16,18,22,26,30,4
1,3,8,11,13,31,32,3
3,4,5,7,11,19,28,6
2,8,9,10,19,23,29,14
1,3,9,13,17,23,32,19
2,13,14,16,18,23,28,9
8,12,17,18,21,23,35,1
5,6,14,15,16,24,32,19
5,7,14,18,23,27,33,7
3,9,19,24,27,30,35,1
3,7,9,16,17,28,32,6
11,14,18,23,26,32,34,5
2,21,26,28,31,32,33,12
1,6,10,15,16,21,26,19
8,12,18,20,24,27,35,17
7,14,17,22,24,28,32,1
1,14,17,22,26,28,33,9
1,5,10,12,17,20,27,13
9,10,21,24,25,30,32,19
7,8,9,18,23,30,32,4
3,4,8,22,23,24,31,15
9,12,16,23,26,29,35,10
6,9,17,25,28,32,34,10
3,6,7,14,18,32,35,2
8,12,15,18,19,24,25,18
2,4,12,18,19,27,34,11
1,3,14,17,19,22,26,18
1,12,14,16,21,27,29,7
1,10,11,12,18,20,27,20
10,17,19,20,26,28,33,2
10,16,23,24,27,28,33,12
1,9,16,17,22,24,31,2
1,3,12,13,21,26,31,19
2,5,7,14,25,29,32,3
1,2,3,11,15,26,35,17
5,8,9,17,20,22,35,16
4,5,10,13,23,27,28,4
7,14,16,20,21,25,28,11
3,4,7,9,24,29,31,2
2,3,9,21,25,27,35,4
7,9,12,17,23,26,27,2
4,8,9,10,11,29,32,18
9,11,15,16,18,28,35,9
14,19,20,27,29,30,32,6
4,12,18,20,21,23,30,1
1,2,3,12,13,23,25,1
8,10,20,24,26,28,32,6
3,7,10,12,13,21,33,4
9,10,16,18,22,29,33,8
1,7,11,12,19,24,30,7
2,6,7,9,21,22,25,12
3,6,11,16,27,28,35,10
2,11,15,20,22,25,29,3
9,22,25,26,27,30,33,19
4,5,8,17,18,26,31,9
10,11,20,27,28,30,31,2
2,4,14,16,19,27,29,13
8,9,11,20,22,27,32,20
3,7,10,11,17,26,35,19
7,14,21,24,27,30,35,13
1,5,11,16,17,29,30,8
9,15,22,23,25,30,35,6
1,3,9,11,22,23,24,4
1,6,11,13,16,23,27,11
6,7,8,21,27,28,34,16
2,15,20,21,22,27,28,3
2,7,17,21,27,32,35,7
4,10,14,16,17,19,34,13
1,5,8,11,17,23,25,3
2,7,8,11,31,33,35,20
4,10,14,17,22,31,34,7
6,7,10,16,17,20,30,4
1,11,13,17,24,34,35,19
5,15,17,18,19,26,29,2
2,4,6,8,9,11,33,4
2,5,9,11,23,25,33,6
1,2,4,11,17,21,30,2
8,15,18,19,20,22,32,9
2,12,14,16,21,25,33,4
4,5,25,26,27,30,34,18
3,14,20,27,29,30,31,7
2,5,8,17,20,24,27,6
4,6,9,13,20,23,27,2
2,4,5,7,11,13,14,14
3,4,12,16,21,25,27,8
3,6,10,11,21,23,34,5
6,11,17,20,22,24,32,19
10,19,22,28,29,31,34,10
2,8,17,19,23,29,35,3
4,11,18,20,22,26,33,9
3,7,10,24,28,31,34,14
7,8,11,12,19,25,33,13
5,7,8,9,17,18,29,19
5,9,13,19,20,24,32,15
7,8,15,24,26,28,35,13
3,5,6,14,20,26,33,19
3,5,17,20,22,29,33,12
3,14,17,28,29,33,34,17
2,7,16,18,23,25,29,20
12,15,17,23,29,30,35,10
4,8,11,17,24,30,35,3
9,11,13,25,26,28,29,12
7,10,17,25,29,33,35,5
13,20,21,23,27,30,32,13
3,11,21,22,24,28,32,7
5,10,15,19,21,22,30,3
2,6,8,10,17,20,30,8
1,2,17,19,22,34,35,11
7,14,18,21,23,25,27,20
13,15,19,20,22,28,32,20
2,6,9,14,18,28,29,11
3,13,27,31,32,33,35,3
4,5,10,12,13,18,34,19
1,3,9,17,22,32,34,19
1,7,8,22,28,31,32,15
2,4,22,23,24,25,29,17
4,16,18,23,25,31,32,5
7,20,23,29,32,33,34,16
2,4,7,17,25,28,34,3
2,5,9,13,24,31,35,16
2,6,7,14,16,29,31,15
14,22,23,24,30,32,34,9
8,9,18,27,29,30,32,6
2,12,14,18,19,23,25,17
3,9,16,25,26,31,34,9
6,14,15,24,26,32,35,14
1,3,6,16,19,20,24,13
9,14,15,19,24,34,35,12
4,5,9,13,25,32,33,7
